SOURCE_ID,PropCancel,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled,PropCancel_2
190,0.033617369,3.498045921,0.00046868,3,28014,41.44850159,-90.50749969,590,MLI,8567,8566,288,0.033617369
191,0.029249012,1.759961272,0.078414373,1,28019,32.51089859,-92.03769684,79,MLU,2530,2527,74,0.029249012
194,0.011059908,3.47523763,0.000510401,3,28044,48.25939941,-101.2799988,1716,MOT,1085,1085,12,0.011059908
195,0.040363269,4.090372003,4.31E-05,3,29846,46.35359955,-87.395401,1221,MQT,991,993,40,0.040363269
197,0.04541222,3.609754289,0.000306487,3,28071,43.13990021,-89.33750153,887,MSN,13961,13956,634,0.04541222
199,0.013270499,3.936539783,8.27E-05,3,28073,44.882,-93.221802,841,MSP,130289,130320,1729,0.013270499
206,0.015704517,3.605727075,0.00031128,3,28292,35.39310074,-97.60070038,1295,OKC,25152,25154,395,0.015704517
207,0.01762506,4.048184534,5.16E-05,3,28311,41.3032,-95.894096,984,OMA,27007,27004,476,0.01762506
210,0.042953365,3.34239974,0.000830574,3,28334,41.9786,-87.9048,672,ORD,350380,350452,15050,0.042953365
218,0.019592235,2.802955319,0.005063668,3,28514,39.87189865,-75.2410965,36,PHL,100499,100483,1969,0.019592235
220,0.053753808,3.46327511,0.000533642,3,28519,40.66419983,-89.69329834,660,PIA,5581,5582,300,0.053753808
222,0,3.801983956,0.000143542,3,28525,44.38270187,-100.2860031,1744,PIR,5,5,0,0
223,0.018157895,3.390070265,0.000698747,3,28526,40.49150085,-80.23290253,1203,PIT,41800,41791,759,0.018157895
224,0.049242424,3.847881088,0.000119144,3,28537,45.57089996,-84.79669952,721,PLN,264,264,13,0.049242424
233,0.023071377,2.808841272,0.004972015,3,29683,44.04529953,-103.0569992,3204,RAP,4161,4162,96,0.023071377
237,0.017241379,3.365806454,0.000763202,3,29710,42.19540024,-89.09719849,742,RFD,290,293,5,0.017241379
238,0.063348416,3.928289607,8.56E-05,3,29714,45.63119888,-89.46749878,1624,RHI,221,221,14,0.063348416
242,0.03844086,3.105067581,0.001902356,3,29747,37.3255,-79.975403,1175,ROA,3720,3718,143,0.03844086
243,0.030286035,4.40385051,1.06E-05,3,29748,43.1189003,-77.67240143,559,ROC,14264,14253,432,0.030286035
245,0.06263048,3.865394466,0.00011091,3,29766,43.90829849,-92.5,1317,RST,3353,3352,210,0.06263048
251,0.061477721,3.29629023,0.000979707,3,29851,41.70869827,-86.31729889,799,SBN,5319,5320,327,0.061477721
254,0.043410853,3.682723771,0.000230755,3,30196,40.84930038,-77.84870148,1239,SCE,645,644,28,0.043410853
255,0.018033663,3.452509143,0.000555399,3,29865,38.1744,-85.736,501,SDF,22458,22448,405,0.018033663
258,0.042430852,4.075651085,4.59E-05,3,29887,37.24570084,-93.38860321,1268,SGF,10087,10077,428,0.042430852
260,0.033172422,1.664275477,0.096057391,1,29898,32.446602,-93.8256,258,SHV,8079,8077,268,0.033172422
270,0.089795918,3.297428685,0.000975745,3,29948,39.84410095,-89.67790222,598,SPI,1225,1229,110,0.089795918
271,0.041984733,2.674688895,0.007479863,3,29949,33.9888,-98.491898,1019,SPS,1834,1831,77,0.041984733
273,0.020977795,3.220741863,0.001278593,3,29970,38.748697,-90.370003,618,STL,62733,62739,1316,0.020977795
277,0.090163934,3.656168752,0.000256013,3,29982,42.40259933,-96.38439941,1098,SUX,122,121,11,0.090163934
278,0.012473523,3.130978503,0.001742249,3,29988,41.5041008,-74.10479736,491,SWF,4249,4245,53,0.012473523
279,0.025764628,4.547712769,5.42E-06,3,29997,43.11119843,-76.10630035,421,SYR,12032,12036,310,0.025764628
282,0.055480379,3.653076389,0.000259117,3,30092,41.58679962,-83.80780029,683,TOL,1478,1476,82,0.055480379
284,0.026924894,3.359881432,0.000779759,3,30102,36.475201,-82.407401,1519,TRI,2117,2116,57,0.026924894
285,0.01538855,3.693692005,0.000221021,3,30114,36.19839859,-95.88809967,677,TUL,23459,23455,361,0.01538855
286,0,2.180909863,0.029190084,2,30115,34.26810074,-88.76989746,346,TUP,10,9,0,0
288,0.038714219,3.636205358,0.000276684,3,30118,44.74140167,-85.5821991,624,TVC,4262,4258,165,0.038714219
290,0.0448,2.480938972,0.013103681,2,30128,33.45370102,-93.99099731,390,TXK,1250,1247,56,0.0448
291,0.031545741,3.033479859,0.002417508,3,30131,32.35409927,-95.40239716,544,TYR,1585,1585,50,0.031545741
292,0.019065981,3.355813293,0.00079132,3,30132,35.81100082,-83.9940033,981,TYS,14004,13999,267,0.019065981
297,0.033304989,4.202306323,2.64E-05,3,30329,36.281898,-94.306801,1287,XNA,14112,14112,470,0.033304989
